tach,cht2,cht3,egt1,egt2,egt3,egt4,volts,unit_temp_f,coolant_temp_f,oil_temp_f,oil_pres_psi,aux1,aux2,aux3,aux4,aux5,aux6,tach_hrs,flight_hrs
0,0,0,1642,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,342.40000000000003,0.0
0,0,0,1642,0,0,0,1.6,0,20,26,0,-67,0,0,0,0,0,342.40000000000003,0.0
517,0,0,3,0,0,0,1.6,1,20,26,0,-67,0,0,0,0,0,342.40000000000003,0.0
517,0,0,3,0,0,0,3.0,1,26,37,0,-59,0,0,0,0,0,342.40000000000003,0.0
0,0,0,3,0,5,0,3.0,10,26,37,0,-59,0,0,0,0,0,342.40000000000003,0.0
0,0,0,3,0,5,5,4.3,10,32,46,0,-51,0,0,0,0,0,342.40000000000003,0.0
0,0,0,7,6,14,13,4.3,18,32,46,0,-51,0,0,0,0,0,342.40000000000003,0.0
0,0,0,7,6,14,13,5.300000000000001,18,36,54,0,-45,0,0,0,0,0,342.40000000000003,0.0
0,0,0,14,13,20,20,5.300000000000001,25,36,54,0,-45,0,0,0,0,0,342.40000000000003,0.0
0,0,0,14,13,20,20,6.300000000000001,25,41,62,0,-39,0,0,0,0,0,342.40000000000003,0.0
0,0,0,20,19,26,26,6.300000000000001,31,41,62,0,-39,0,0,0,0,0,342.40000000000003,0.0
0,0,0,20,19,26,26,7.1000000000000005,31,45,68,0,-34,0,0,0,0,0,342.40000000000003,0.0
0,0,0,25,24,31,31,7.1000000000000005,36,45,68,0,-34,0,0,0,0,0,342.40000000000003,0.0
0,7,8,25,24,31,31,7.9,40,48,74,0,-30,0,0,0,0,0,342.40000000000003,0.0
0,7,8,29,28,36,35,7.9,40,48,74,0,-30,0,0,0,0,0,342.40000000000003,0.0
0,18,18,29,28,36,35,8.5,45,51,79,0,-26,0,0,0,0,0,342.40000000000003,0.0
0,18,18,34,33,41,40,8.5,45,51,79,0,-26,0,0,0,0,0,342.40000000000003,0.0
0,28,29,34,33,41,40,9.1,45,53,83,0,-23,0,0,0,0,0,342.40000000000003,0.0
0,28,29,37,36,43,43,9.1,48,53,83,0,-23,0,0,0,0,0,342.40000000000003,0.0
0,36,37,37,36,43,43,9.600000000000001,48,55,87,0,-20,0,0,0,0,0,342.40000000000003,0.0
0,36,37,40,39,47,46,9.600000000000001,51,55,87,0,-20,0,0,0,0,0,342.40000000000003,0.0
0,44,44,40,39,47,46,10.0,54,57,90,0,-18,0,0,0,0,0,342.40000000000003,0.0
0,44,44,43,43,50,49,10.0,54,57,90,0,-18,0,0,0,0,0,342.40000000000003,0.0
0,50,51,43,43,50,49,10.4,56,59,93,0,-15,0,0,0,0,0,342.40000000000003,0.0
0,50,51,45,45,52,51,10.4,56,59,93,0,-15,0,0,0,0,0,342.40000000000003,0.0
0,56,56,45,45,52,51,10.700000000000001,58,61,95,0,-14,0,0,0,0,0,342.40000000000003,0.0
0,56,56,47,46,54,53,10.700000000000001,58,61,95,0,-14,0,0,0,0,0,342.40000000000003,0.0
