tach,cht2,cht3,egt1,egt2,egt3,egt4,volts,unit_temp_f,coolant_temp_f,oil_temp_f,oil_pres_psi,aux1,aux2,aux3,aux4,aux5,aux6,tach_hrs,flight_hrs
0,0,0,0,741,0,0,0.0,0,0,0,0,0,0,0,0,0,0,355.1,0.0
0,0,0,0,741,734,753,1.6,0,27,31,0,-67,0,0,0,0,0,355.1,0.0
517,0,0,759,741,734,753,1.6,3,27,31,0,-67,0,0,0,0,0,355.1,0.0
517,0,0,759,741,735,754,3.1,3,39,45,0,-59,0,0,0,0,0,355.1,0.0
0,0,0,769,750,743,754,3.1,13,39,45,0,-59,0,0,0,0,0,355.1,0.0
0,0,0,769,750,743,761,4.4,13,49,56,0,-51,0,0,0,0,0,355.1,0.0
0,0,0,776,757,751,769,4.4,22,49,56,0,-51,0,0,0,0,0,355.1,0.0
0,0,0,776,757,751,769,5.6000000000000005,22,58,67,0,-45,0,0,0,0,0,355.1,0.0
0,0,0,782,764,758,776,5.6000000000000005,30,58,67,0,-45,0,0,0,0,0,355.1,0.0
0,0,2,782,764,758,776,6.6000000000000005,30,65,76,0,-39,0,0,0,0,0,355.1,0.0
0,0,2,790,770,765,783,6.6000000000000005,38,65,76,0,-39,0,0,0,0,0,355.1,0.0
0,18,20,790,770,765,783,7.4,44,72,84,0,-34,0,0,0,0,0,355.1,0.0
0,18,20,794,775,769,788,7.4,44,72,84,0,-34,0,0,0,0,0,355.1,0.0
0,33,35,794,775,769,788,8.200000000000001,49,78,91,0,-30,0,0,0,0,0,355.1,0.0
0,33,35,797,778,773,792,8.200000000000001,49,78,91,0,-30,0,0,0,0,0,355.1,0.0
0,46,48,797,778,773,792,8.8,54,83,97,0,-26,0,0,0,0,0,355.1,0.0
0,46,48,800,782,777,795,8.8,54,83,97,0,-26,0,0,0,0,0,355.1,0.0
0,58,61,800,782,777,795,9.4,54,88,103,0,-23,0,0,0,0,0,355.1,0.0
0,58,61,804,784,780,798,9.4,58,88,103,0,-23,0,0,0,0,0,355.1,0.0
0,69,71,804,784,780,798,9.9,58,92,107,0,-20,0,0,0,0,0,355.1,0.0
0,69,71,806,786,783,800,9.9,62,92,107,0,-20,0,0,0,0,0,355.1,0.0
0,78,80,806,786,783,800,10.4,65,96,111,0,-18,0,0,0,0,0,355.1,0.0
0,78,80,808,788,785,802,10.4,65,96,111,0,-18,0,0,0,0,0,355.1,0.0
0,85,88,808,788,785,802,10.8,67,99,115,0,-15,0,0,0,0,0,355.1,0.0
0,85,88,809,789,786,803,10.8,67,99,115,0,-15,0,0,0,0,0,355.1,0.0
0,92,94,809,789,786,803,11.100000000000001,70,101,118,0,-14,0,0,0,0,0,355.1,0.0
0,92,94,810,790,787,805,11.100000000000001,70,101,118,0,-14,0,0,0,0,0,355.1,0.0
0,98,101,810,790,787,805,11.4,72,104,121,0,-12,0,0,0,0,0,355.1,0.0
0,98,101,810,790,788,805,11.4,72,104,121,0,-12,0,0,0,0,0,355.1,0.0
0,103,106,810,790,788,805,11.700000000000001,74,106,123,0,-10,0,0,0,0,0,355.1,0.0
0,103,106,811,791,788,806,11.700000000000001,74,106,123,0,-10,0,0,0,0,0,355.1,0.0
0,108,111,811,791,788,806,11.9,76,107,125,0,-9,0,0,0,0,0,355.1,0.0
0,108,111,812,791,790,807,11.9,76,107,125,0,-9,0,0,0,0,0,355.1,0.0
0,112,116,812,791,790,807,12.100000000000001,77,109,127,0,-8,0,0,0,0,0,355.1,0.0
0,112,116,812,791,790,807,12.100000000000001,77,109,127,0,-8,0,0,0,0,0,355.1,0.0
0,115,119,812,791,790,807,12.3,78,110,129,0,-7,0,0,0,0,0,355.1,0.0
0,115,119,812,791,790,807,12.3,78,110,129,0,-7,0,0,0,0,0,355.1,0.0
0,118,122,812,791,790,807,12.4,79,112,130,0,-6,0,0,0,0,0,355.1,0.0
0,118,122,812,791,790,807,12.4,79,112,130,0,-6,0,0,0,0,0,355.1,0.0
0,121,124,812,791,790,807,12.600000000000001,80,113,131,0,-5,0,0,0,0,0,355.1,0.0
0,121,124,812,791,790,807,12.600000000000001,80,113,131,0,-5,0,0,0,0,0,355.1,0.0
0,123,127,812,791,790,807,12.700000000000001,81,113,133,0,-5,0,0,0,0,0,355.1,0.0
0,123,127,812,791,790,807,12.700000000000001,81,113,133,0,-5,0,0,0,0,0,355.1,0.0
0,126,129,812,791,790,807,12.8,82,114,133,0,-4,0,0,0,0,0,355.1,0.0
0,126,129,812,791,790,807,12.8,82,114,133,0,-4,0,0,0,0,0,355.1,0.0
0,128,131,812,791,790,807,12.9,83,115,134,0,-4,0,0,0,0,0,355.1,0.0
0,128,131,812,791,790,807,12.9,83,115,134,0,-4,0,0,0,0,0,355.1,0.0
0,129,133,812,791,790,807,12.9,83,116,135,0,-3,0,0,0,0,0,355.1,0.0
0,129,133,812,791,790,807,12.9,83,116,135,0,-3,0,0,0,0,0,355.1,0.0
0,130,134,812,791,790,807,13.0,84,116,136,0,-3,0,0,0,0,0,355.1,0.0
0,130,134,812,791,790,807,13.0,84,116,136,0,-3,0,0,0,0,0,355.1,0.0
0,132,136,812,791,790,807,13.100000000000001,84,117,136,0,-2,0,0,0,0,0,355.1,0.0
0,132,136,811,789,790,807,13.100000000000001,84,117,136,0,-2,0,0,0,0,0,355.1,0.0
0,133,137,811,789,790,807,13.100000000000001,84,117,137,0,-2,0,0,0,0,0,355.1,0.0
0,133,137,811,788,790,806,13.100000000000001,84,117,137,0,-2,0,0,0,0,0,355.1,0.0
0,133,137,811,788,790,806,13.100000000000001,85,117,137,0,-2,0,0,0,0,0,355.1,0.0
0,133,137,810,787,790,806,13.100000000000001,85,117,137,0,-2,0,0,0,0,0,355.1,0.0
0,135,139,810,787,790,806,13.200000000000001,85,118,137,0,-2,0,0,0,0,0,355.1,0.0
0,135,139,809,786,790,805,13.200000000000001,85,118,137,0,-2,0,0,0,0,0,355.1,0.0
0,135,139,809,786,790,805,13.200000000000001,85,118,138,0,-1,0,0,0,0,0,355.1,0.0
0,135,139,808,785,789,804,13.200000000000001,85,118,138,0,-1,0,0,0,0,0,355.1,0.0
0,136,139,808,785,789,804,13.200000000000001,85,118,138,0,-1,0,0,0,0,0,355.1,0.0
0,136,139,805,783,787,803,13.200000000000001,85,118,138,0,-1,0,0,0,0,0,355.1,0.0
0,136,140,805,783,787,803,13.3,86,119,138,0,-1,0,0,0,0,0,355.1,0.0
0,136,140,805,783,787,802,13.3,86,119,138,0,-1,0,0,0,0,0,355.1,0.0
0,137,141,805,783,787,802,13.3,86,119,139,0,-1,0,0,0,0,0,355.1,0.0
0,137,141,805,781,786,801,13.3,86,119,139,0,-1,0,0,0,0,0,355.1,0.0
0,138,141,805,781,786,801,13.3,86,119,139,0,-1,0,0,0,0,0,355.1,0.0
0,138,141,802,780,785,800,13.3,86,119,139,0,-1,0,0,0,0,0,355.1,0.0
0,138,142,802,780,785,800,13.3,86,119,139,0,-1,0,0,0,0,0,355.1,0.0
0,138,142,802,778,784,799,13.3,86,119,139,0,-1,0,0,0,0,0,355.1,0.0
0,138,142,802,778,784,799,13.3,86,119,139,0,-1,0,0,0,0,0,355.1,0.0
0,138,142,801,777,783,797,13.3,86,119,139,0,-1,0,0,0,0,0,355.1,0.0
