tach,cht2,cht3,egt1,egt2,egt3,egt4,volts,unit_temp_f,coolant_temp_f,oil_temp_f,oil_pres_psi,aux1,aux2,aux3,aux4,aux5,aux6,tach_hrs,flight_hrs
0,0,0,0,777,0,0,0.0,0,0,0,0,0,0,0,0,0,0,362.8,0.0
0,0,0,0,777,737,737,1.6,0,26,28,0,-67,0,0,0,0,0,362.8,0.0
517,0,0,776,777,737,737,1.6,2,26,28,0,-67,0,0,0,0,0,362.8,0.0
517,0,0,776,777,737,737,3.1,2,37,40,1,-59,0,0,0,0,0,362.8,0.0
0,0,0,786,785,745,737,3.1,12,37,40,1,-59,0,0,0,0,0,362.8,0.0
0,0,0,786,785,745,746,4.4,12,47,50,1,-51,0,0,0,0,0,362.8,0.0
0,0,0,798,797,759,759,5.5,28,55,59,1,-45,0,0,0,0,0,362.8,0.0
0,0,1,798,797,759,759,6.5,28,62,67,1,-39,0,0,0,0,0,362.8,0.0
0,0,1,805,803,764,765,6.5,35,62,67,1,-39,0,0,0,0,0,362.8,0.0
0,17,19,805,803,764,765,7.4,40,69,74,1,-34,0,0,0,0,0,362.8,0.0
0,17,19,808,806,768,769,7.4,40,69,74,1,-34,0,0,0,0,0,362.8,0.0
0,31,33,808,806,768,769,8.1,45,74,81,1,-30,0,0,0,0,0,362.8,0.0
0,31,33,811,809,772,772,8.1,45,74,81,1,-30,0,0,0,0,0,362.8,0.0
0,44,46,811,809,772,772,8.8,50,80,86,2,-26,0,0,0,0,0,362.8,0.0
0,44,46,813,813,776,776,8.8,50,80,86,2,-26,0,0,0,0,0,362.8,0.0
0,56,59,813,813,776,776,9.3,50,84,91,1,-23,0,0,0,0,0,362.8,0.0
0,56,59,819,815,779,779,9.3,54,84,91,1,-23,0,0,0,0,0,362.8,0.0
0,67,69,819,815,779,779,9.9,54,88,95,1,-20,0,0,0,0,0,362.8,0.0
0,67,69,819,817,781,781,9.9,57,88,95,1,-20,0,0,0,0,0,362.8,0.0
0,75,77,819,817,781,781,10.3,60,91,99,1,-18,0,0,0,0,0,362.8,0.0
0,75,77,822,817,783,783,10.3,60,91,99,1,-18,0,0,0,0,0,362.8,0.0
0,83,85,822,817,783,783,10.700000000000001,63,94,102,1,-15,0,0,0,0,0,362.8,0.0
0,83,85,823,819,785,785,10.700000000000001,63,94,102,1,-15,0,0,0,0,0,362.8,0.0
0,90,92,823,819,785,785,11.0,65,96,104,1,-14,0,0,0,0,0,362.8,0.0
0,90,92,823,819,785,785,11.0,65,96,104,1,-14,0,0,0,0,0,362.8,0.0
0,96,98,823,819,785,785,11.3,67,99,107,1,-12,0,0,0,0,0,362.8,0.0
0,96,98,823,820,786,786,11.3,67,99,107,1,-12,0,0,0,0,0,362.8,0.0
0,101,103,823,820,786,786,11.600000000000001,69,101,109,1,-10,0,0,0,0,0,362.8,0.0
0,101,103,825,820,787,787,11.600000000000001,69,101,109,1,-10,0,0,0,0,0,362.8,0.0
0,105,108,825,820,787,787,11.8,70,102,111,0,-9,0,0,0,0,0,362.8,0.0
0,105,108,825,820,787,787,11.8,70,102,111,0,-9,0,0,0,0,0,362.8,0.0
0,109,112,825,820,787,787,12.0,72,104,113,0,-8,0,0,0,0,0,362.8,0.0
0,109,112,825,820,788,787,12.0,72,104,113,0,-8,0,0,0,0,0,362.8,0.0
0,113,116,825,820,788,787,12.200000000000001,73,105,114,0,-7,0,0,0,0,0,362.8,0.0
0,113,116,825,820,788,787,12.200000000000001,73,105,114,0,-7,0,0,0,0,0,362.8,0.0
0,116,119,825,820,788,787,12.3,74,106,115,0,-6,0,0,0,0,0,362.8,0.0
0,116,119,825,820,788,787,12.3,74,106,115,0,-6,0,0,0,0,0,362.8,0.0
0,119,122,825,820,788,787,12.5,75,107,116,0,-5,0,0,0,0,0,362.8,0.0
0,119,122,825,820,788,787,12.5,75,107,116,0,-5,0,0,0,0,0,362.8,0.0
0,121,124,825,820,788,787,12.600000000000001,75,108,117,0,-5,0,0,0,0,0,362.8,0.0
0,121,124,825,820,788,787,12.600000000000001,75,108,117,0,-5,0,0,0,0,0,362.8,0.0
0,123,126,825,820,788,787,12.700000000000001,76,109,118,0,-4,0,0,0,0,0,362.8,0.0
0,123,126,825,820,788,787,12.700000000000001,76,109,118,0,-4,0,0,0,0,0,362.8,0.0
0,125,128,825,820,788,787,12.8,77,110,119,0,-4,0,0,0,0,0,362.8,0.0
0,125,128,825,820,788,787,12.8,77,110,119,0,-4,0,0,0,0,0,362.8,0.0
0,127,130,825,820,788,787,12.8,77,111,120,0,-3,0,0,0,0,0,362.8,0.0
0,127,130,824,820,788,787,12.8,77,111,120,0,-3,0,0,0,0,0,362.8,0.0
0,128,131,824,820,788,787,12.9,78,111,120,0,-3,0,0,0,0,0,362.8,0.0
0,128,131,824,819,788,787,12.9,78,111,120,0,-3,0,0,0,0,0,362.8,0.0
0,129,132,824,819,788,787,13.0,78,112,121,0,-2,0,0,0,0,0,362.8,0.0
0,129,132,822,817,788,787,13.0,78,112,121,0,-2,0,0,0,0,0,362.8,0.0
0,130,133,822,817,788,787,13.0,79,112,121,0,-2,0,0,0,0,0,362.8,0.0
0,130,133,822,817,788,787,13.0,79,112,121,0,-2,0,0,0,0,0,362.8,0.0
0,132,135,822,817,788,787,13.100000000000001,79,112,121,0,-2,0,0,0,0,0,362.8,0.0
0,132,135,821,816,788,787,13.100000000000001,79,112,121,0,-2,0,0,0,0,0,362.8,0.0
0,132,135,821,816,788,787,13.100000000000001,79,113,122,0,-2,0,0,0,0,0,362.8,0.0
0,132,135,821,814,787,786,13.100000000000001,79,113,122,0,-2,0,0,0,0,0,362.8,0.0
0,133,136,821,814,787,786,13.100000000000001,79,113,122,0,-1,0,0,0,0,0,362.8,0.0
0,133,136,819,812,786,785,13.100000000000001,79,113,122,0,-1,0,0,0,0,0,362.8,0.0
0,133,136,819,812,786,785,13.200000000000001,80,113,122,0,-1,0,0,0,0,0,362.8,0.0
0,133,136,818,811,785,785,13.200000000000001,80,113,122,0,-1,0,0,0,0,0,362.8,0.0
0,135,137,818,811,785,785,13.200000000000001,80,114,122,0,-1,0,0,0,0,0,362.8,0.0
0,135,137,816,810,785,783,13.200000000000001,80,114,122,0,-1,0,0,0,0,0,362.8,0.0
0,135,138,816,810,785,783,13.200000000000001,80,114,123,0,-1,0,0,0,0,0,362.8,0.0
0,135,138,816,808,783,782,13.200000000000001,80,114,123,0,-1,0,0,0,0,0,362.8,0.0
