tach,cht2,cht3,egt1,egt2,egt3,egt4,volts,unit_temp_f,coolant_temp_f,oil_temp_f,oil_pres_psi,aux1,aux2,aux3,aux4,aux5,aux6,tach_hrs,flight_hrs
0,0,0,0,25,0,0,0.0,0,0,0,0,0,0,0,0,0,0,370.5,0.0
0,0,0,0,25,62,72,1.6,0,28,33,0,-67,0,0,0,0,0,370.5,0.0
517,0,0,13,25,62,72,1.6,2,28,33,0,-67,0,0,0,0,0,370.5,0.0
517,0,0,13,25,62,73,3.1,2,40,47,0,-59,0,0,0,0,0,370.5,0.0
0,0,0,23,35,73,73,3.1,12,40,47,0,-59,0,0,0,0,0,370.5,0.0
0,0,0,23,35,73,83,4.4,12,50,60,0,-51,0,0,0,0,0,370.5,0.0
0,16,19,46,58,95,105,7.300000000000001,41,75,89,0,-34,0,0,0,0,0,370.5,0.0
0,16,19,52,64,101,112,7.300000000000001,41,75,89,0,-34,0,0,0,0,0,370.5,0.0
0,31,35,52,64,101,112,8.1,46,81,96,0,-30,0,0,0,0,0,370.5,0.0
0,31,35,57,69,106,117,8.1,46,81,96,0,-30,0,0,0,0,0,370.5,0.0
0,44,48,57,69,106,117,8.700000000000001,51,86,103,0,-26,0,0,0,0,0,370.5,0.0
0,44,48,62,74,111,122,8.700000000000001,51,86,103,0,-26,0,0,0,0,0,370.5,0.0
0,56,60,62,74,111,122,9.3,51,91,108,0,-23,0,0,0,0,0,370.5,0.0
0,56,60,66,78,115,126,9.3,55,91,108,0,-23,0,0,0,0,0,370.5,0.0
0,66,70,66,78,115,126,9.8,55,95,113,0,-20,0,0,0,0,0,370.5,0.0
0,66,70,69,81,118,129,9.8,58,95,113,0,-20,0,0,0,0,0,370.5,0.0
0,75,79,69,81,118,129,10.200000000000001,61,99,118,0,-18,0,0,0,0,0,370.5,0.0
0,75,79,72,84,121,131,10.200000000000001,61,99,118,0,-18,0,0,0,0,0,370.5,0.0
0,82,87,72,84,121,131,10.600000000000001,64,102,121,0,-15,0,0,0,0,0,370.5,0.0
0,82,87,75,87,124,134,10.600000000000001,64,102,121,0,-15,0,0,0,0,0,370.5,0.0
0,89,94,75,87,124,134,10.9,66,104,125,0,-14,0,0,0,0,0,370.5,0.0
0,89,94,77,89,126,136,10.9,66,104,125,0,-14,0,0,0,0,0,370.5,0.0
0,95,100,77,89,126,136,11.200000000000001,68,107,128,0,-12,0,0,0,0,0,370.5,0.0
0,95,100,79,91,128,138,11.200000000000001,68,107,128,0,-12,0,0,0,0,0,370.5,0.0
0,100,105,79,91,128,138,11.5,70,109,130,0,-10,0,0,0,0,0,370.5,0.0
0,100,105,81,93,130,140,11.5,70,109,130,0,-10,0,0,0,0,0,370.5,0.0
0,105,110,81,93,130,140,11.700000000000001,71,111,132,0,-9,0,0,0,0,0,370.5,0.0
0,105,110,82,94,131,141,11.700000000000001,71,111,132,0,-9,0,0,0,0,0,370.5,0.0
0,108,113,82,94,131,141,11.9,72,113,134,0,-8,0,0,0,0,0,370.5,0.0
0,108,113,83,95,132,142,11.9,72,113,134,0,-8,0,0,0,0,0,370.5,0.0
0,111,117,83,95,132,142,12.100000000000001,74,114,136,0,-7,0,0,0,0,0,370.5,0.0
0,111,117,85,97,134,144,12.100000000000001,74,114,136,0,-7,0,0,0,0,0,370.5,0.0
0,115,121,85,97,134,144,12.3,75,115,138,0,-6,0,0,0,0,0,370.5,0.0
0,115,121,86,98,135,145,12.3,75,115,138,0,-6,0,0,0,0,0,370.5,0.0
0,118,123,86,98,135,145,12.4,76,116,139,0,-5,0,0,0,0,0,370.5,0.0
0,118,123,87,99,136,146,12.4,76,116,139,0,-5,0,0,0,0,0,370.5,0.0
0,120,126,87,99,136,146,12.5,77,117,140,0,-5,0,0,0,0,0,370.5,0.0
0,120,126,88,100,137,147,12.5,77,117,140,0,-5,0,0,0,0,0,370.5,0.0
0,122,128,88,100,137,147,12.600000000000001,77,118,141,0,-4,0,0,0,0,0,370.5,0.0
0,122,128,88,100,137,147,12.600000000000001,77,118,141,0,-4,0,0,0,0,0,370.5,0.0
0,124,129,88,100,137,147,12.700000000000001,78,119,142,0,-4,0,0,0,0,0,370.5,0.0
0,124,129,89,101,138,148,12.700000000000001,78,119,142,0,-4,0,0,0,0,0,370.5,0.0
0,125,131,89,101,138,148,12.700000000000001,79,120,143,0,-3,0,0,0,0,0,370.5,0.0
0,125,131,90,102,139,149,12.700000000000001,79,120,143,0,-3,0,0,0,0,0,370.5,0.0
0,127,133,90,102,139,149,12.8,79,120,143,0,-3,0,0,0,0,0,370.5,0.0
0,127,133,90,102,139,149,12.8,79,120,143,0,-3,0,0,0,0,0,370.5,0.0
0,128,134,90,102,139,149,12.9,80,121,144,0,-2,0,0,0,0,0,370.5,0.0
0,128,134,91,103,140,150,12.9,80,121,144,0,-2,0,0,0,0,0,370.5,0.0
0,130,135,91,103,140,150,12.9,80,121,144,0,-2,0,0,0,0,0,370.5,0.0
0,130,135,91,103,140,150,12.9,80,121,144,0,-2,0,0,0,0,0,370.5,0.0
0,130,136,91,103,140,150,13.0,80,121,145,0,-2,0,0,0,0,0,370.5,0.0
0,130,136,91,103,140,150,13.0,80,121,145,0,-2,0,0,0,0,0,370.5,0.0
0,131,136,91,103,140,150,13.0,81,122,145,0,-2,0,0,0,0,0,370.5,0.0
0,131,136,92,104,141,151,13.0,81,122,145,0,-2,0,0,0,0,0,370.5,0.0
0,132,138,92,104,141,151,13.0,81,122,146,0,-1,0,0,0,0,0,370.5,0.0
0,132,138,92,104,141,151,13.0,81,122,146,0,-1,0,0,0,0,0,370.5,0.0
0,132,138,92,104,141,151,13.100000000000001,81,122,146,0,-1,0,0,0,0,0,370.5,0.0
0,133,138,92,104,141,151,13.100000000000001,81,122,146,0,-1,0,0,0,0,0,370.5,0.0
0,133,139,92,104,141,151,13.100000000000001,82,122,146,0,-1,0,0,0,0,0,370.5,0.0
