tach,cht2,cht3,egt1,egt2,egt3,egt4,volts,unit_temp_f,coolant_temp_f,oil_temp_f,oil_pres_psi,aux1,aux2,aux3,aux4,aux5,aux6,tach_hrs,flight_hrs
0,0,0,0,29,0,0,0.0,0,0,0,0,0,0,0,0,0,0,378.5,0.0
0,0,0,0,29,34,51,1.6,0,25,30,0,-67,0,0,0,0,0,378.5,0.0
517,0,0,9,31,34,51,1.6,3,25,30,0,-67,0,0,0,0,0,378.5,0.0
517,0,0,9,31,36,53,3.1,3,35,43,0,-58,0,0,0,0,0,378.5,0.0
0,0,0,20,42,47,53,3.1,14,35,43,0,-58,0,0,0,0,0,378.5,0.0
0,0,0,20,42,47,64,4.4,14,44,55,0,-51,0,0,0,0,0,378.5,0.0
0,9,9,45,67,72,89,7.300000000000001,45,65,81,0,-34,0,0,0,0,0,378.5,0.0
0,9,9,51,73,78,95,7.300000000000001,45,65,81,0,-34,0,0,0,0,0,378.5,0.0
0,23,22,51,73,78,95,8.0,50,70,88,0,-29,0,0,0,0,0,378.5,0.0
0,23,22,56,77,83,100,8.0,50,70,88,0,-29,0,0,0,0,0,378.5,0.0
0,35,34,56,77,83,100,8.700000000000001,55,74,94,0,-26,0,0,0,0,0,378.5,0.0
0,35,34,61,83,88,105,8.700000000000001,55,74,94,0,-26,0,0,0,0,0,378.5,0.0
0,46,46,61,83,88,105,9.3,55,79,99,0,-22,0,0,0,0,0,378.5,0.0
0,46,46,65,87,92,109,9.3,59,79,99,0,-22,0,0,0,0,0,378.5,0.0
0,55,55,65,87,92,109,9.8,59,82,103,0,-19,0,0,0,0,0,378.5,0.0
0,55,55,69,91,96,113,9.8,63,82,103,0,-19,0,0,0,0,0,378.5,0.0
0,64,63,69,91,96,113,10.200000000000001,67,85,107,0,-17,0,0,0,0,0,378.5,0.0
0,64,63,73,94,100,117,10.200000000000001,67,85,107,0,-17,0,0,0,0,0,378.5,0.0
0,72,72,73,94,100,117,10.600000000000001,69,88,111,0,-15,0,0,0,0,0,378.5,0.0
0,72,72,75,97,102,119,10.600000000000001,69,88,111,0,-15,0,0,0,0,0,378.5,0.0
0,78,77,75,97,102,119,10.9,72,90,114,0,-13,0,0,0,0,0,378.5,0.0
0,78,77,78,100,105,122,10.9,72,90,114,0,-13,0,0,0,0,0,378.5,0.0
0,84,83,78,100,105,122,11.200000000000001,74,93,117,0,-11,0,0,0,0,0,378.5,0.0
0,84,83,80,101,107,124,11.200000000000001,74,93,117,0,-11,0,0,0,0,0,378.5,0.0
0,89,88,80,101,107,124,11.5,76,94,119,0,-10,0,0,0,0,0,378.5,0.0
