tach,cht2,cht3,egt1,egt2,egt3,egt4,volts,unit_temp_f,coolant_temp_f,oil_temp_f,oil_pres_psi,aux1,aux2,aux3,aux4,aux5,aux6,tach_hrs,flight_hrs
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,378.40000000000003,0.0
0,0,0,0,0,0,2,1.6,0,23,29,0,-67,0,0,0,0,0,378.40000000000003,0.0
517,0,0,0,0,0,2,1.6,2,23,29,0,-67,0,0,0,0,0,378.40000000000003,0.0
517,0,0,0,0,2,5,3.0,2,32,41,0,-59,0,0,0,0,0,378.40000000000003,0.0
0,0,0,0,0,12,5,3.0,13,32,41,0,-59,0,0,0,0,0,378.40000000000003,0.0
0,0,0,0,0,12,14,4.3,13,40,52,0,-51,0,0,0,0,0,378.40000000000003,0.0
0,2,4,23,28,42,43,7.2,43,59,77,0,-34,0,0,0,0,0,378.40000000000003,0.0
0,16,19,23,28,42,43,8.0,48,64,83,0,-30,0,0,0,0,0,378.40000000000003,0.0
0,16,19,29,33,47,50,8.0,48,64,83,0,-30,0,0,0,0,0,378.40000000000003,0.0
0,28,31,29,33,47,50,8.6,52,68,89,0,-26,0,0,0,0,0,378.40000000000003,0.0
0,28,31,34,39,52,55,8.6,52,68,89,0,-26,0,0,0,0,0,378.40000000000003,0.0
0,38,41,34,39,52,55,9.1,52,72,94,0,-23,0,0,0,0,0,378.40000000000003,0.0
0,38,41,38,42,56,59,9.1,57,72,94,0,-23,0,0,0,0,0,378.40000000000003,0.0
0,48,52,38,42,56,59,9.700000000000001,57,76,98,0,-20,0,0,0,0,0,378.40000000000003,0.0
0,48,52,41,45,59,62,9.700000000000001,60,76,98,0,-20,0,0,0,0,0,378.40000000000003,0.0
0,56,59,41,45,59,62,10.100000000000001,63,78,102,0,-18,0,0,0,0,0,378.40000000000003,0.0
0,56,59,44,48,62,64,10.100000000000001,63,78,102,0,-18,0,0,0,0,0,378.40000000000003,0.0
0,62,66,44,48,62,64,10.5,66,81,105,0,-15,0,0,0,0,0,378.40000000000003,0.0
0,62,66,46,51,65,68,10.5,66,81,105,0,-15,0,0,0,0,0,378.40000000000003,0.0
0,69,73,46,51,65,68,10.8,68,83,108,0,-14,0,0,0,0,0,378.40000000000003,0.0
0,69,73,49,53,67,70,10.8,68,83,108,0,-14,0,0,0,0,0,378.40000000000003,0.0
0,74,78,49,53,67,70,11.100000000000001,70,85,110,0,-12,0,0,0,0,0,378.40000000000003,0.0
0,74,78,51,55,69,71,11.100000000000001,70,85,110,0,-12,0,0,0,0,0,378.40000000000003,0.0
