tach,cht2,cht3,egt1,egt2,egt3,egt4,volts,unit_temp_f,coolant_temp_f,oil_temp_f,oil_pres_psi,aux1,aux2,aux3,aux4,aux5,aux6,tach_hrs,flight_hrs
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,374.20000000000005,0.0
0,0,0,0,0,0,0,1.6,0,13,19,0,-67,0,0,0,0,0,374.20000000000005,0.0
517,0,0,0,0,0,0,1.6,0,13,19,0,-67,0,0,0,0,0,374.20000000000005,0.0
517,0,0,0,0,0,0,3.0,0,18,24,0,-59,0,0,0,0,0,374.20000000000005,0.0
0,0,0,0,0,0,0,3.0,8,18,24,0,-59,0,0,0,0,0,374.20000000000005,0.0
0,0,0,0,0,0,0,4.2,8,23,28,0,-51,0,0,0,0,0,374.20000000000005,0.0
0,0,0,2,2,1,0,4.2,15,23,28,0,-51,0,0,0,0,0,374.20000000000005,0.0
0,0,0,2,2,1,1,5.300000000000001,15,28,32,0,-45,0,0,0,0,0,374.20000000000005,0.0
0,0,0,8,8,7,7,5.300000000000001,21,28,32,0,-45,0,0,0,0,0,374.20000000000005,0.0
0,0,0,8,8,7,7,6.2,21,32,36,0,-39,0,0,0,0,0,374.20000000000005,0.0
0,0,0,12,13,12,12,6.2,26,32,36,0,-39,0,0,0,0,0,374.20000000000005,0.0
0,0,0,12,13,12,12,7.0,26,35,39,0,-34,0,0,0,0,0,374.20000000000005,0.0
0,0,0,17,18,17,18,7.0,31,35,39,0,-34,0,0,0,0,0,374.20000000000005,0.0
0,0,0,17,18,17,18,7.7,35,38,41,0,-30,0,0,0,0,0,374.20000000000005,0.0
0,0,0,22,22,21,22,7.7,35,38,41,0,-30,0,0,0,0,0,374.20000000000005,0.0
0,0,0,22,22,21,22,8.4,39,41,44,0,-26,0,0,0,0,0,374.20000000000005,0.0
0,0,0,26,26,26,26,8.4,39,41,44,0,-26,0,0,0,0,0,374.20000000000005,0.0
0,0,0,26,26,26,26,8.9,39,43,46,0,-23,0,0,0,0,0,374.20000000000005,0.0
0,0,0,29,29,28,29,8.9,42,43,46,0,-23,0,0,0,0,0,374.20000000000005,0.0
0,4,4,29,29,28,29,9.4,42,45,47,0,-20,0,0,0,0,0,374.20000000000005,0.0
0,4,4,32,32,31,32,9.4,45,45,47,0,-20,0,0,0,0,0,374.20000000000005,0.0
0,10,10,32,32,31,32,9.8,48,47,49,0,-18,0,0,0,0,0,374.20000000000005,0.0
0,10,10,35,35,35,35,9.8,48,47,49,0,-18,0,0,0,0,0,374.20000000000005,0.0
0,16,16,35,35,35,35,10.200000000000001,50,48,50,0,-15,0,0,0,0,0,374.20000000000005,0.0
0,16,16,37,37,37,37,10.200000000000001,50,48,50,0,-15,0,0,0,0,0,374.20000000000005,0.0
0,20,20,37,37,37,37,10.5,52,50,52,0,-14,0,0,0,0,0,374.20000000000005,0.0
0,20,20,39,39,39,39,10.5,52,50,52,0,-14,0,0,0,0,0,374.20000000000005,0.0
0,24,24,39,39,39,39,10.8,53,51,53,0,-12,0,0,0,0,0,374.20000000000005,0.0
0,24,24,40,40,40,40,10.8,53,51,53,0,-12,0,0,0,0,0,374.20000000000005,0.0
0,27,27,40,40,40,40,11.100000000000001,53,52,53,0,-10,0,0,0,0,0,374.20000000000005,0.0
0,27,27,42,42,41,42,11.100000000000001,55,52,53,0,-10,0,0,0,0,0,374.20000000000005,0.0
0,31,31,42,42,41,42,11.3,56,53,54,0,-9,0,0,0,0,0,374.20000000000005,0.0
0,31,31,43,43,43,43,11.3,56,53,54,0,-9,0,0,0,0,0,374.20000000000005,0.0
0,33,33,43,43,43,43,11.5,57,53,55,0,-8,0,0,0,0,0,374.20000000000005,0.0
0,33,33,44,44,43,44,11.5,57,53,55,0,-8,0,0,0,0,0,374.20000000000005,0.0
0,35,35,44,44,43,44,11.600000000000001,58,54,56,0,-7,0,0,0,0,0,374.20000000000005,0.0
0,35,35,45,45,44,45,11.600000000000001,58,54,56,0,-7,0,0,0,0,0,374.20000000000005,0.0
0,38,38,45,45,44,45,11.8,59,55,56,0,-6,0,0,0,0,0,374.20000000000005,0.0
0,38,38,46,46,46,46,11.8,59,55,56,0,-6,0,0,0,0,0,374.20000000000005,0.0
0,39,39,46,46,46,46,11.9,60,55,57,0,-5,0,0,0,0,0,374.20000000000005,0.0
0,39,39,47,47,46,47,11.9,60,55,57,0,-5,0,0,0,0,0,374.20000000000005,0.0
0,41,41,47,47,46,47,12.0,60,56,57,0,-5,0,0,0,0,0,374.20000000000005,0.0
0,41,41,47,47,47,47,12.0,60,56,57,0,-5,0,0,0,0,0,374.20000000000005,0.0
0,42,42,47,47,47,47,12.100000000000001,61,56,57,0,-4,0,0,0,0,0,374.20000000000005,0.0
0,42,42,48,48,48,48,12.100000000000001,61,56,57,0,-4,0,0,0,0,0,374.20000000000005,0.0
0,44,44,48,48,48,48,12.200000000000001,61,57,58,0,-4,0,0,0,0,0,374.20000000000005,0.0
0,44,44,48,48,48,48,12.200000000000001,61,57,58,0,-4,0,0,0,0,0,374.20000000000005,0.0
0,44,44,48,48,48,48,12.3,62,57,58,0,-3,0,0,0,0,0,374.20000000000005,0.0
0,44,44,49,49,49,48,12.3,62,57,58,0,-3,0,0,0,0,0,374.20000000000005,0.0
0,46,46,49,49,49,48,12.4,62,57,58,0,-3,0,0,0,0,0,374.20000000000005,0.0
0,46,46,49,49,49,49,12.4,62,57,58,0,-3,0,0,0,0,0,374.20000000000005,0.0
0,46,46,49,49,49,49,12.4,63,57,58,0,-2,0,0,0,0,0,374.20000000000005,0.0
0,46,46,50,50,49,49,12.4,63,57,58,0,-2,0,0,0,0,0,374.20000000000005,0.0
0,47,47,50,50,49,49,12.5,63,58,59,0,-2,0,0,0,0,0,374.20000000000005,0.0
0,47,47,50,50,50,49,12.5,63,58,59,0,-2,0,0,0,0,0,374.20000000000005,0.0
0,48,48,50,50,50,49,12.5,63,58,59,0,-2,0,0,0,0,0,374.20000000000005,0.0
0,48,48,50,50,50,50,12.5,63,58,59,0,-2,0,0,0,0,0,374.20000000000005,0.0
0,48,48,50,50,50,50,12.5,63,58,59,0,-2,0,0,0,0,0,374.20000000000005,0.0
0,48,48,50,50,50,50,12.5,63,58,59,0,-2,0,0,0,0,0,374.20000000000005,0.0
0,48,48,50,50,50,50,12.600000000000001,64,58,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,48,48,51,51,51,51,12.600000000000001,64,58,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.600000000000001,64,58,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.600000000000001,64,58,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.600000000000001,64,58,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.600000000000001,64,58,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.600000000000001,64,58,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.600000000000001,64,58,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.700000000000001,64,58,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.700000000000001,64,58,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.700000000000001,64,59,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.700000000000001,64,59,59,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.700000000000001,64,59,60,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.700000000000001,64,59,60,0,-1,0,0,0,0,0,374.20000000000005,0.0
0,50,50,51,51,51,51,12.700000000000001,64,59,60,0,0,0,0,0,0,0,374.20000000000005,0.0
