#airframe_info,"log_version=""1.00""","airframe_name=""Kitfox""","unit_software_part_number=""001""","unit_software_version=""01""","system_software_part_number=""00""","system_id=""123""",mode=NORMAL
#yyyy-mm-dd,hh:mm:ss.ms,hh:mm:ss,rpm,deg F,deg F,deg F,deg F,deg F,deg F,volts,deg F,deg F,deg F,psi,amps,hours,hh:mm:ss
Lcl Date,Lcl Time,UTCOfst,RPM,CHT2,CHT3,EGT1,EGT2,EGT3,EGT4,Volts,Instrument Temp,Coolant Temp,Oil Temp,Oil Pressure,Amps,AUX2,AUX3,AUX4,AUX5,AUX6,tach_hrs,flight_hrs
2012-04-20,16:00:00.000000,-08:00:00,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:00.100000,-08:00:00,0,0,0,0,0,0,0,1.6,0,20,27,0,-67,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:00.200000,-08:00:00,517,0,0,0,0,0,0,1.6,1,20,27,0,-67,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:00.300000,-08:00:00,517,0,0,0,0,0,0,3.1,1,27,39,0,-59,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:00.400000,-08:00:00,0,0,0,1,1,5,0,3.1,11,27,39,0,-59,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:00.500000,-08:00:00,0,0,0,1,1,5,6,4.4,11,34,49,0,-51,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:00.600000,-08:00:00,0,8,8,29,29,33,34,8.200000000000001,43,52,78,0,-30,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:00.700000,-08:00:00,0,8,8,33,33,37,38,8.200000000000001,43,52,78,0,-30,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:00.800000,-08:00:00,0,18,18,33,33,37,38,8.8,48,55,83,0,-26,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:00.900000,-08:00:00,0,18,18,39,38,43,43,8.8,48,55,83,0,-26,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:01.000000,-08:00:00,0,29,29,39,38,43,43,9.4,48,58,88,0,-23,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:01.100000,-08:00:00,0,29,29,43,42,46,47,9.4,52,58,88,0,-23,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:01.200000,-08:00:00,0,38,38,43,42,46,47,9.9,52,61,92,0,-20,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:01.300000,-08:00:00,0,38,38,46,45,50,51,9.9,55,61,92,0,-20,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:01.400000,-08:00:00,0,45,45,46,45,50,51,10.4,58,63,96,0,-18,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:01.500000,-08:00:00,0,45,45,49,48,53,53,10.4,58,63,96,0,-18,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:01.600000,-08:00:00,0,52,52,49,48,53,53,10.8,60,65,99,0,-15,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:01.700000,-08:00:00,0,52,52,51,50,55,55,10.8,60,65,99,0,-15,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:01.800000,-08:00:00,0,57,57,51,50,55,55,11.100000000000001,62,66,101,0,-14,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:01.900000,-08:00:00,0,57,57,53,52,57,57,11.100000000000001,62,66,101,0,-14,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:02.000000,-08:00:00,0,62,62,53,52,57,57,11.4,64,68,104,0,-12,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:02.100000,-08:00:00,0,62,62,55,54,59,59,11.4,64,68,104,0,-12,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:02.200000,-08:00:00,0,66,66,55,54,59,59,11.700000000000001,64,69,106,0,-10,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:02.300000,-08:00:00,0,66,66,57,56,61,61,11.700000000000001,66,69,106,0,-10,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:02.400000,-08:00:00,0,70,70,57,56,61,61,11.9,68,70,107,0,-9,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:02.500000,-08:00:00,0,70,70,59,58,63,63,11.9,68,70,107,0,-9,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:02.600000,-08:00:00,0,74,74,59,58,63,63,12.100000000000001,69,71,109,0,-8,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:02.700000,-08:00:00,0,74,74,60,59,63,64,12.100000000000001,69,71,109,0,-8,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:02.800000,-08:00:00,0,77,77,60,59,63,64,12.200000000000001,70,72,110,0,-7,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:02.900000,-08:00:00,0,77,77,61,60,65,65,12.200000000000001,70,72,110,0,-7,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:03.000000,-08:00:00,0,79,79,61,60,65,65,12.4,71,73,112,0,-6,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:03.100000,-08:00:00,0,79,79,62,61,66,66,12.4,71,73,112,0,-6,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:03.200000,-08:00:00,0,82,82,62,61,66,66,12.5,72,73,113,0,-5,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:03.300000,-08:00:00,0,82,82,63,62,66,68,12.5,72,73,113,0,-5,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:03.400000,-08:00:00,0,84,84,63,62,66,68,12.600000000000001,73,74,113,0,-5,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:03.500000,-08:00:00,0,84,84,64,63,68,68,12.600000000000001,73,74,113,0,-5,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:03.600000,-08:00:00,0,86,86,64,63,68,68,12.700000000000001,73,74,114,0,-4,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:03.700000,-08:00:00,0,86,86,64,63,68,68,12.700000000000001,73,74,114,0,-4,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:03.800000,-08:00:00,0,86,87,64,63,68,68,12.8,74,75,115,0,-4,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:03.900000,-08:00:00,0,86,87,65,64,69,69,12.8,74,75,115,0,-4,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:04.000000,-08:00:00,0,88,89,65,64,69,69,12.9,74,75,116,0,-3,0,0,0,0,0,381.40000000000003,0.0
2012-04-20,16:00:04.100000,-08:00:00,0,88,89,65,64,69,69,12.9,74,75,116,0,-3,0,0,0,0,0,381.40000000000003,0.0
