#airframe_info,"log_version=""1.00""","airframe_name=""Kitfox""","unit_software_part_number=""001""","unit_software_version=""01""","system_software_part_number=""00""","system_id=""123""",mode=NORMAL
#yyyy-mm-dd,hh:mm:ss.ms,hh:mm:ss,rpm,deg F,deg F,deg F,deg F,deg F,deg F,volts,deg F,deg F,deg F,psi,amps,hours,hh:mm:ss
Lcl Date,Lcl Time,UTCOfst,RPM,CHT2,CHT3,EGT1,EGT2,EGT3,EGT4,Volts,Instrument Temp,Coolant Temp,Oil Temp,Oil Pressure,Amps,AUX2,AUX3,AUX4,AUX5,AUX6,tach_hrs,flight_hrs
2012-04-20,16:00:03.400000,-08:00:00,0,51,51,58,57,57,57,12.600000000000001,74,56,73,0,-5,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:03.500000,-08:00:00,0,51,51,59,58,58,58,12.600000000000001,74,56,73,0,-5,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:03.600000,-08:00:00,0,53,53,59,58,58,58,12.700000000000001,74,56,74,0,-4,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:03.700000,-08:00:00,0,53,53,59,58,58,58,12.700000000000001,74,56,74,0,-4,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:03.800000,-08:00:00,0,54,54,59,58,58,58,12.8,75,57,74,0,-4,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:03.900000,-08:00:00,0,54,54,60,60,59,59,12.8,75,57,74,0,-4,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:04.000000,-08:00:00,0,55,55,60,60,59,59,12.9,75,57,74,0,-3,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:04.100000,-08:00:00,0,55,55,60,60,59,59,12.9,75,57,74,0,-3,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:04.200000,-08:00:00,0,56,56,60,60,59,59,12.9,76,57,75,0,-3,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:04.300000,-08:00:00,0,56,56,61,61,60,60,12.9,76,57,75,0,-3,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:04.400000,-08:00:00,0,57,57,61,61,60,60,13.0,76,57,75,0,-2,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:04.500000,-08:00:00,0,57,57,61,61,60,60,13.0,76,57,75,0,-2,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:04.600000,-08:00:00,0,57,57,61,61,60,60,13.100000000000001,77,58,75,0,-2,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:04.700000,-08:00:00,0,57,57,61,62,61,61,13.100000000000001,77,58,75,0,-2,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:04.800000,-08:00:00,0,59,59,61,62,61,61,13.100000000000001,77,58,75,0,-2,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:04.900000,-08:00:00,0,59,59,62,62,61,61,13.100000000000001,77,58,75,0,-2,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:05.000000,-08:00:00,0,59,59,62,62,61,61,13.100000000000001,77,58,76,0,-2,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:05.100000,-08:00:00,0,59,59,62,62,61,61,13.100000000000001,77,58,76,0,-2,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:05.200000,-08:00:00,0,59,59,62,62,61,61,13.200000000000001,77,58,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:05.300000,-08:00:00,0,59,59,62,62,61,61,13.200000000000001,77,58,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:05.400000,-08:00:00,0,60,60,62,62,61,61,13.200000000000001,78,58,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:05.500000,-08:00:00,0,60,60,63,63,62,62,13.200000000000001,78,58,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:05.600000,-08:00:00,0,61,61,63,63,62,62,13.200000000000001,78,58,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:05.700000,-08:00:00,0,61,61,63,63,62,62,13.200000000000001,78,58,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:05.800000,-08:00:00,0,61,61,63,63,62,62,13.200000000000001,78,58,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:05.900000,-08:00:00,0,61,61,63,63,62,62,13.200000000000001,78,58,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:06.000000,-08:00:00,0,61,61,63,63,62,62,13.3,78,59,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:06.100000,-08:00:00,0,61,61,63,63,62,62,13.3,78,59,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:06.200000,-08:00:00,0,61,61,63,63,62,62,13.3,78,59,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:06.300000,-08:00:00,0,61,61,63,63,62,62,13.3,78,59,76,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:06.400000,-08:00:00,0,61,61,63,63,62,62,13.3,78,59,77,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:06.500000,-08:00:00,0,61,61,63,63,62,62,13.3,78,59,77,0,-1,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:06.600000,-08:00:00,0,61,61,63,63,62,62,13.3,78,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:06.700000,-08:00:00,0,61,61,63,63,62,62,13.3,78,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:06.800000,-08:00:00,0,61,61,63,63,62,62,13.3,78,59,77,0,0,0,0,0,0,0,381.1,0.0
