tach,cht2,cht3,egt1,egt2,egt3,egt4,volts,unit_temp_f,coolant_temp_f,oil_temp_f,oil_pres_psi,aux1,aux2,aux3,aux4,aux5,aux6,tach_hrs,flight_hrs
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,333.20000000000005,0.0
0,0,0,0,0,0,0,1.6,0,12,18,0,-67,0,0,0,0,0,333.20000000000005,0.0
517,0,0,0,0,0,0,1.6,0,12,18,0,-67,0,0,0,0,0,333.20000000000005,0.0
517,0,0,0,0,0,0,3.1,0,18,23,0,-59,0,0,0,0,0,333.20000000000005,0.0
0,0,0,0,0,0,0,3.1,5,18,23,0,-59,0,0,0,0,0,333.20000000000005,0.0
0,0,0,0,0,0,0,4.3,5,23,28,0,-51,0,0,0,0,0,333.20000000000005,0.0
0,0,0,0,0,0,0,4.3,12,23,28,0,-51,0,0,0,0,0,333.20000000000005,0.0
0,0,0,0,0,0,0,5.4,12,28,32,0,-45,0,0,0,0,0,333.20000000000005,0.0
0,0,0,4,4,5,5,5.4,17,28,32,0,-45,0,0,0,0,0,333.20000000000005,0.0
0,0,0,4,4,5,5,6.4,17,32,35,0,-39,0,0,0,0,0,333.20000000000005,0.0
0,0,0,8,8,8,9,6.4,21,32,35,0,-39,0,0,0,0,0,333.20000000000005,0.0
0,0,0,8,8,8,9,7.300000000000001,21,35,38,0,-34,0,0,0,0,0,333.20000000000005,0.0
0,0,0,13,13,14,14,7.300000000000001,26,35,38,0,-34,0,0,0,0,0,333.20000000000005,0.0
0,0,0,13,13,14,14,8.0,29,38,41,0,-30,0,0,0,0,0,333.20000000000005,0.0
0,0,0,16,16,16,17,8.0,29,38,41,0,-30,0,0,0,0,0,333.20000000000005,0.0
0,0,0,16,16,16,17,8.700000000000001,32,41,43,0,-26,0,0,0,0,0,333.20000000000005,0.0
0,0,0,19,20,20,20,8.700000000000001,32,41,43,0,-26,0,0,0,0,0,333.20000000000005,0.0
0,0,0,19,20,20,20,9.200000000000001,32,43,45,0,-23,0,0,0,0,0,333.20000000000005,0.0
0,0,0,22,22,23,23,9.200000000000001,35,43,45,0,-23,0,0,0,0,0,333.20000000000005,0.0
0,2,2,22,22,23,23,9.700000000000001,35,45,47,0,-20,0,0,0,0,0,333.20000000000005,0.0
0,2,2,24,24,25,25,9.700000000000001,37,45,47,0,-20,0,0,0,0,0,333.20000000000005,0.0
0,7,7,24,24,25,25,10.200000000000001,39,47,48,0,-18,0,0,0,0,0,333.20000000000005,0.0
0,7,7,26,26,27,27,10.200000000000001,39,47,48,0,-18,0,0,0,0,0,333.20000000000005,0.0
0,12,12,26,26,27,27,10.5,41,48,50,0,-15,0,0,0,0,0,333.20000000000005,0.0
0,12,12,28,28,29,29,10.5,41,48,50,0,-15,0,0,0,0,0,333.20000000000005,0.0
0,17,17,28,28,29,29,10.9,43,50,51,0,-14,0,0,0,0,0,333.20000000000005,0.0
0,17,17,30,30,31,31,10.9,43,50,51,0,-14,0,0,0,0,0,333.20000000000005,0.0
0,21,21,30,30,31,31,11.200000000000001,44,51,52,0,-12,0,0,0,0,0,333.20000000000005,0.0
0,21,21,31,31,32,32,11.200000000000001,44,51,52,0,-12,0,0,0,0,0,333.20000000000005,0.0
0,24,24,31,31,32,32,11.4,44,52,53,0,-10,0,0,0,0,0,333.20000000000005,0.0
0,24,24,33,33,34,34,11.4,46,52,53,0,-10,0,0,0,0,0,333.20000000000005,0.0
0,28,28,33,33,34,34,11.600000000000001,47,53,53,0,-9,0,0,0,0,0,333.20000000000005,0.0
0,28,28,34,34,34,35,11.600000000000001,47,53,53,0,-9,0,0,0,0,0,333.20000000000005,0.0
0,31,31,34,34,34,35,11.8,48,53,54,0,-8,0,0,0,0,0,333.20000000000005,0.0
0,31,31,35,35,36,36,11.8,48,53,54,0,-8,0,0,0,0,0,333.20000000000005,0.0
0,33,33,35,35,36,36,12.0,48,54,55,0,-7,0,0,0,0,0,333.20000000000005,0.0
0,33,33,35,35,36,36,12.0,48,54,55,0,-7,0,0,0,0,0,333.20000000000005,0.0
0,34,34,35,35,36,36,12.200000000000001,49,55,55,0,-6,0,0,0,0,0,333.20000000000005,0.0
0,34,34,36,36,37,37,12.200000000000001,49,55,55,0,-6,0,0,0,0,0,333.20000000000005,0.0
0,36,36,36,36,37,37,12.3,50,55,56,0,-5,0,0,0,0,0,333.20000000000005,0.0
0,36,36,37,37,38,38,12.3,50,55,56,0,-5,0,0,0,0,0,333.20000000000005,0.0
0,38,38,37,37,38,38,12.4,51,56,56,0,-5,0,0,0,0,0,333.20000000000005,0.0
0,38,38,38,38,39,39,12.4,51,56,56,0,-5,0,0,0,0,0,333.20000000000005,0.0
0,40,40,38,38,39,39,12.5,51,56,57,0,-4,0,0,0,0,0,333.20000000000005,0.0
0,40,40,38,38,39,39,12.5,51,56,57,0,-4,0,0,0,0,0,333.20000000000005,0.0
0,40,40,38,38,39,39,12.600000000000001,52,56,57,0,-4,0,0,0,0,0,333.20000000000005,0.0
0,40,40,39,39,40,40,12.600000000000001,52,56,57,0,-4,0,0,0,0,0,333.20000000000005,0.0
0,42,42,39,39,40,40,12.700000000000001,52,57,57,0,-3,0,0,0,0,0,333.20000000000005,0.0
0,42,42,39,39,40,40,12.700000000000001,52,57,57,0,-3,0,0,0,0,0,333.20000000000005,0.0
0,42,42,39,39,40,40,12.700000000000001,52,57,57,0,-3,0,0,0,0,0,333.20000000000005,0.0
0,42,42,39,39,40,40,12.700000000000001,52,57,57,0,-3,0,0,0,0,0,333.20000000000005,0.0
0,43,43,39,39,40,40,12.8,53,57,58,0,-2,0,0,0,0,0,333.20000000000005,0.0
0,43,43,40,40,41,41,12.8,53,57,58,0,-2,0,0,0,0,0,333.20000000000005,0.0
0,44,44,40,40,41,41,12.9,53,58,58,0,-2,0,0,0,0,0,333.20000000000005,0.0
0,44,44,40,40,41,41,12.9,53,58,58,0,-2,0,0,0,0,0,333.20000000000005,0.0
0,45,45,40,40,41,41,12.9,53,58,58,0,-2,0,0,0,0,0,333.20000000000005,0.0
0,45,45,40,40,41,41,12.9,53,58,58,0,-2,0,0,0,0,0,333.20000000000005,0.0
0,45,45,40,40,41,41,12.9,54,58,58,0,-2,0,0,0,0,0,333.20000000000005,0.0
0,45,45,41,41,42,42,12.9,54,58,58,0,-2,0,0,0,0,0,333.20000000000005,0.0
0,46,46,41,41,42,42,13.0,54,58,58,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,46,46,41,41,42,42,13.0,54,58,58,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,46,46,41,41,42,42,13.0,54,58,58,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,46,46,41,41,42,42,13.0,54,58,58,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,47,47,41,41,42,42,13.0,54,58,58,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,47,47,41,41,42,42,13.0,54,58,58,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,47,47,41,41,42,42,13.0,54,58,58,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,47,47,41,41,42,42,13.0,54,58,58,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,47,47,41,41,42,42,13.100000000000001,54,58,59,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,47,47,41,41,42,42,13.100000000000001,54,58,59,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,47,47,41,41,42,42,13.100000000000001,54,59,59,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,47,47,41,41,42,42,13.100000000000001,54,59,59,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,47,47,41,41,42,42,13.100000000000001,54,59,59,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,47,47,41,41,42,42,13.100000000000001,54,59,59,0,-1,0,0,0,0,0,333.20000000000005,0.0
0,47,47,41,41,42,42,13.100000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,47,47,42,43,43,43,13.100000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,48,48,42,43,43,43,13.100000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,48,48,42,43,43,43,13.100000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,48,48,42,43,43,43,13.100000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,48,48,42,43,43,43,13.100000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.100000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.100000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
0,49,49,42,43,43,43,13.200000000000001,55,59,59,0,0,0,0,0,0,0,333.20000000000005,0.0
